Id,英文,日语,(chinese word for Indonesian lang)
Id,en,jp,id
cardName_1,Basic Attack,通常攻撃,Serangan Dasar
cardDesc_1,Deal 1 physical damage.,1点のダメージを与える,Berikan 1 damage fisik
cardName_2,Basic Attack,通常攻撃,Serangan Dasar
cardDesc_2,Deal 2 physical damage.,2点のダメージを与える,Berikan 2 damage fisik
cardLevelUpDesc_2,Deal 2 physical damage.,<color=#8adf6a>2</color>点のダメージを与える,Berikan 2 damage
cardName_3,Basic Attack,通常攻撃,Serangan Dasar
cardDesc_3,Deal 3 physical damage.,3点のダメージを与える,Berikan 3 damage fisik
cardLevelUpDesc_3,Deal 3 physical damage.,<color=#8adf6a>3</color>点のダメージを与える,Berikan 3 damage
cardName_4,Basic Attack,通常攻撃,Serangan Dasar
cardDesc_4,Deal 4 physical damage.,4点のダメージを与える,Berikan 4 damage fisik
cardLevelUpDesc_4,Deal 4 physical damage.,<color=#8adf6a>4</color>点のダメージを与える,Berikan 4 damage
cardName_5,Crush,粉砕,Remukkan
cardDesc_5,Deal 12 physical damage.,12点のダメージを与える,Berikan 12 damage fisik
cardName_6,Dual Destinies,捨て身の攻撃,Takdir Ganda
cardDesc_6,Deal 9 physical damage and take 2 piercing damage.,敵に9点のダメージを与え、あなたに2点の貫通ダメージを与える,Berikan 9 damage fisik dan terima 2 damage piercing
cardName_7,Fires of Rage,烈火の怒りの一撃,Kemarahan Api
cardDesc_7,Deal 2 fire damage + 1 for every 5 missing health.,2点の火属性のダメージを与える。失った5HPごとにダメージ+１,Berikan 2 damage api dan + 1 untuk setiap nyawa yang hilang
cardDescEx_7,Deal {0} fire damage + 1 for every 5 missing health.,{0}点の火属性のダメージを与える。(失った5HPごとにダメージ+１),Berikan {0} damage api dan + 1 untuk setiap nyawa yang hilang
cardName_8,Fires of Rage,烈火の怒りの一撃,Kemarahan Api
cardDesc_8,Deal 3 fire damage + 1 for every 5 missing health.,3点の火属性のダメージを与える。失った5HPごとにダメージ+１,Berikan 3 damage api dan + 1 untuk setiap nyawa yang hilang
cardLevelUpDesc_8,Deal <color=#8adf6a>3</color> fire damage + 1 for every 5 missing health.,<color=#8adf6a>3</color>点の火属性のダメージを与える。失った5HPごとにダメージ+１,Berikan <color=#8adf6a>3</color> damage api dan + 1 untuk setiap nyawa yang hilang
cardDescEx_8,Deal {0} fire damage + 1 for every 5 missing health.,{0}点の火属性のダメージを与える。(失った5HPごとにダメージ+１),Berikan {0} damage api dan + 1 untuk setiap nyawa yang hilang
cardName_9,Fires of Rage,烈火の怒りの一撃,Kemarahan Api
cardDesc_9,Deal 6 fire damage + 1 for every 5 missing health.,5点の火属性のダメージを与える。失った5HPごとにダメージ+１,Berikan 6 damage api dan + 1 untuk setiap nyawa yang hilang
cardLevelUpDesc_9,Deal <color=#8adf6a>6</color> fire damage + 1 for every 5 missing health.,<color=#8adf6a>５</color>点の火属性のダメージを与える。失った5HPごとにダメージ+１,Berikan <color=#8adf6a>6</color> damage api dan + 1 untuk setiap nyawa yang hilang
cardDescEx_9,Deal {0} fire damage + 1 for every 5 missing health.,{0}点の火属性のダメージを与える。(失った5HPごとにダメージ+１),Berikan {0} damage api dan + 1 untuk setiap nyawa yang hilang
cardName_10,Burning Strike,炎の一撃,Serangan Membara
cardDesc_10,Deal 4 fire damage.,4点の火属性のダメージを与える,Berikan 4 damage api
cardName_11,Soul Strike,魂の一撃,Serangan Jiwa
cardDesc_11,Deal 2 physical damage. If this card kills the enemy you permanently gain 2 maximum health.,2点のダメージを与える。このカードで敵を倒した場合、HPの上限+2,"Berikan 2 damage fisik. Jika kartu ini membunuh musuh, maksimum nyawa +2"
cardName_12,Soul Strike,魂の一撃,Serangan Jiwa
cardDesc_12,Deal 3 physical damage. If this card kills the enemy you permanently gain 2 maximum health.,3点のダメージを与える。このカードで敵を倒した場合、HPの上限+2,"Berikan 3 damage fisik. Jika kartu ini membunuh musuh, maksimum nyawa +2"
cardLevelUpDesc_12,Deal <color=#8adf6a>3</color> physical damage. If this card kills the enemy you permanently gain 2 maximum health.,<color=#8adf6a>3</color>点のダメージを与える。このカードで敵を倒した場合、HPの上限+2,"Berikan <color=#8adf6a>3</color> damage fisik. Jika kartu ini membunuh musuh, maksimum nyawa +2"
cardName_13,Soul Strike,魂の一撃,Serangan Jiwa
cardDesc_13,Deal 5 physical damage. If this card kills the enemy you permanently gain 2 maximum health.,5点のダメージを与える。このカードで敵を倒した場合、HPの上限+2,"Berikan 5 damage fisik. Jika kartu ini membunuh musuh, maksimum nyawa +2"
cardLevelUpDesc_13,Deal <color=#8adf6a>5</color> physical damage. If this card kills the enemy you permanently gain 2 maximum health.,<color=#8adf6a>5</color>点のダメージを与える。このカードで敵を倒した場合、HPの上限+2,"Berikan <color=#8adf6a>5</color> damage fisik. Jika kartu ini membunuh musuh, maksimum nyawa +2"
cardName_14,Binding Strike,締付け
cardDesc_14,"<color=#e6c14f>Exiled</color>. Deal 2 physical damage. On their turn,  the enemy can only play 1 type of card.",<color=#e6c14f>除外</color>\n2点のダメージを与える。敵は次のターンに1種類のカードしかプレイできない
cardName_15,Binding Strike,締付け
cardDesc_15,"<color=#e6c14f>Exiled</color>. Deal 4 physical damage. On their turn,  the enemy can only play 1 type of card.",<color=#e6c14f>除外</color>\n4点のダメージを与える。敵は次のターンに1種類のカードしかプレイできない
cardName_16,Binding Strike,締付け
cardDesc_16,"<color=#e6c14f>Exiled</color>. Deal 6 physical damage. On their turn,  the enemy can only play 1 type of card.",<color=#e6c14f>除外</color>\n6点のダメージを与える。敵は次のターンに1種類のカードしかプレイできない
cardName_17,Storm Strike,雷の一撃
cardDesc_17,Deal 2 lightning damage. You deal + 1 damage this turn.,2点の雷属性のダメージを与える。このターン中、あなたが与えるダメージ+１
cardName_18,Storm Strike,雷の一撃
cardDesc_18,Deal 4 lightning damage. You deal + 1 damage this turn.,4点の雷属性のダメージを与える。このターン中、あなたが与えるダメージ+１
cardLevelUpDesc_18,Deal <color=#8adf6a>4</color> lightning damage. You deal + 1 damage this turn.,<color=#8adf6a>4</color>点の雷属性のダメージを与える。このターン中、あなたが与えるダメージ+1
cardName_19,Storm Strike,雷の一撃
cardDesc_19,Deal 6 lightning damage. You deal + 1 damage this turn.,6点の雷属性のダメージを与える。このターン中、あなたが与えるダメージ+１
cardLevelUpDesc_19,Deal <color=#8adf6a>6</color> lightning damage. You deal + 1 damage this turn.,<color=#8adf6a>6</color>点の雷属性のダメージを与える。このターン中、あなたが与えるダメージ+1
cardName_20,Lightning Strike,落雷
cardDesc_20,Deal 2 lightning damage. Get 2 <color=#e6c14f>temporary</color> <color=#e6c14f> jarring</color> in your hand.,2点の雷属性のダメージを与える。<color=#e6c14f>ショック</color><color=#e6c14f>*</color>を1枚獲得
cardName_21,Piercing Attack,鋭い一撃
cardDesc_21,Deal 1 piercing damage + 1 for every 4 points of <color=#e6c14f>Armor</color> you have.,1点の貫通ダメージを与える。あなたの<color=#e6c14f>防御</color>4点ごとに+1貫通ダメージ
cardDescEx_21,Deal <color=#8adf6a>1</color> piercing damage + 1 for every 4 points of <color=#e6c14f>Armor</color> you have.,{0}点の貫通ダメージを与える。あなたの防御4点ごとに+1貫通ダメージ
cardName_22,Piercing Attack,鋭い一撃
cardDesc_22,Deal 3 piercing damage + 1 for every 4 points of <color=#e6c14f>Armor</color> you have.,3点の貫通ダメージを与える。あなたの<color=#e6c14f>防御</color>4点ごとに+1貫通ダメージ
cardLevelUpDesc_22,Deal <color=#8adf6a>3</color> piercing damage + 1 for every 4 points of <color=#e6c14f>Armor</color> you have.,<color=#8adf6a>3</color>点の貫通ダメージを与える。あなたの防御4点ごとに+1貫通ダメージ
cardDescEx_22,Deal {0} piercing damage + 1 for every 4 points of <color=#e6c14f>Armor</color> you have.,{0}点の貫通ダメージを与える。あなたの防御4点ごとに+1貫通ダメージ
cardName_23,Piercing Attack,鋭い一撃
cardDesc_23,Deal 5 piercing damage + 1 for every 4 points of <color=#e6c14f>Armor</color> you have.,5点の貫通ダメージを与える。あなたの<color=#e6c14f>防御</color>4点ごとに+1貫通ダメージ
cardLevelUpDesc_23,Deal <color=#8adf6a>5</color> piercing damage + 1 for every 4 points of <color=#e6c14f>Armor</color> you have.,<color=#8adf6a>5</color>点の貫通ダメージを与える。あなたの防御4点ごとに+1貫通ダメージ
cardDescEx_23,Deal {0} piercing damage + 1 for every 4 points of <color=#e6c14f>Armor</color> you have.,{0}点の貫通ダメージを与える。あなたの防御4点ごとに+1貫通ダメージ
cardName_24,Divine Strike,聖なる光
cardDesc_24,Deal 2 physical damage and restore the same amount of health.,2点のダメージを与える。与えたダメージに等しいHPを回復する
cardName_25,Divine Strike,聖なる光
cardDesc_25,Deal 3 physical damage and restore the same amount of health.,3点のダメージを与える。与えたダメージに等しいHPを回復する
cardLevelUpDesc_25,Deal <color=#8adf6a>3</color> physical damage and restore same amount of health.,<color=#8adf6a>3</color>点のダメージを与える。与えたダメージに等しいHPを回復する
cardName_26,Divine Strike,聖なる光
cardDesc_26,Deal 4 physical damage and restore the same amount of health.,4点のダメージを与える。与えたダメージに等しいHPを回復する
cardLevelUpDesc_26,Deal <color=#8adf6a>4</color> physical damage and restore same amount of health.,<color=#8adf6a>4</color>点のダメージを与える。与えたダメージに等しいHPを回復する
cardName_27,Painful Strike,苦痛の一撃
cardDesc_27,Deal 2 physical damage.\nGain 2 mana.,2点のダメージを与え、2MPを獲得する
cardName_28,Painful Strike,苦痛の一撃
cardDesc_28,Deal 4 physical damage.\nGain 4 mana.,4点のダメージを与え、4MPを獲得する
